OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
UNKNOWN,,2022-12-13T20:38:45.105792,13.84341515,.0008879,99.9784,119.2314,3.8015,149.0894,0,U,85370,999,96198,.11496E-2,.1236E-4,0
UNKNOWN,,2022-12-13T04:14:32.856288,13.91869103,.0052778,100.4074,226.5007,227.9397,289.4504,0,U,85373,999,17174,-.77197E-3,-.1049E-4,0
UNKNOWN,,2022-12-12T17:26:53.680416,14.46988255,.0099606,98.6484,84.8184,66.9574,294.2084,0,U,85383,999,42700,.15367E-2,.59E-4,0
UNKNOWN,,2022-12-12T19:01:09.128928,14.51010282,.0104365,98.6473,99.4083,355.5384,159.3730,0,U,85386,999,58537,.13508E-2,.5685E-4,0
UNKNOWN,,2022-12-12T04:26:39.122592,13.44180244,.0060733,100.5288,237.6449,348.1495,166.2783,0,U,87014,999,51345,.39131E-2,.2249E-4,0
UNKNOWN,1999-025,2022-12-13T02:45:10.628640,14.00714862,.0083739,98.8770,41.9229,68.9881,292.0217,0,U,87029,999,43942,.42274E-3,.607E-5,0
UNKNOWN,2000-055,2022-12-13T10:30:30.987360,14.04145093,.0043858,98.8416,49.0976,289.8184,69.8258,0,U,87042,999,40252,.3219E-3,.471E-5,0
UNKNOWN,1976-126,2022-12-14T07:54:38.937312,13.37170612,.0767083,65.7335,325.0492,272.9307,78.4288,0,U,87051,999,44179,.99433E-3,.2929E-4,0
UNKNOWN,1975-052,2022-12-14T12:02:10.643712,14.01307250,.0014231,100.0836,86.9584,41.4750,318.7489,0,U,87054,999,46255,.15728E-2,.2319E-4,0
UNKNOWN,1999-025,2022-12-13T22:57:21.295872,13.44798173,.0337151,98.6910,342.4609,226.2030,131.0764,0,U,87065,999,36922,.1214E-2,.965E-5,0
UNKNOWN,1968-097,2022-12-12T17:31:51.199680,13.67566460,.0570057,61.2216,240.4693,71.6183,294.5941,0,U,87071,999,45164,.15971E-2,.4126E-4,0
UNKNOWN,1977-121,2022-12-14T09:36:53.879040,13.70382952,.0145261,66.1437,32.0870,153.0625,207.8075,0,U,87074,999,45317,.26766E-3,.178E-5,0
UNKNOWN,1976-126,2022-12-13T08:09:28.300032,14.42865681,.0330488,65.6651,68.3365,62.6176,5.5854,0,U,87113,999,47371,.78992E-3,.5014E-4,0
UNKNOWN,1976-077,2022-12-09T03:29:36.209472,12.42166132,.0031071,102.3139,43.9664,301.7769,58.0269,0,U,87129,999,3678,.17187E-2,.19E-5,0
UNKNOWN,,2022-12-13T13:40:27.944832,13.61768569,.0115509,90.3139,31.8774,256.7968,102.0282,0,U,87159,999,40741,.14691E-2,.1186E-4,0
UNKNOWN,1976-126,2022-12-12T13:40:02.591616,13.52055431,.0702619,65.6043,34.2356,184.8357,174.5660,0,U,87163,999,42869,.81553E-3,.2579E-4,0
UNKNOWN,,2022-12-14T08:49:14.363040,14.42553007,.0135791,65.2057,222.5808,159.9112,200.7399,0,U,87164,999,47712,.65483E-3,.2321E-4,0
UNKNOWN,,2022-12-12T15:39:34.238304,14.61487571,.0057526,98.8867,293.9432,77.3934,283.3689,0,U,87203,999,39268,.30394E-2,.15403E-3,0
UNKNOWN,,2022-12-14T14:01:38.370432,14.21712278,.0050329,98.6423,215.8347,276.5851,82.9599,0,U,87204,999,46957,.832E-3,.1808E-4,0
UNKNOWN,,2022-12-08T13:46:19.204032,14.33145950,.0066283,99.0062,266.1113,156.8537,16.2853,0,U,87211,999,54951,.72556E-3,.1994E-4,0
UNKNOWN,1970-025,2022-12-13T14:56:54.247776,13.79266201,.007032,100.3173,230.0139,183.1188,176.9531,0,U,87214,999,44903,-.67506E-3,-.757E-5,0
UNKNOWN,1999-025,2022-12-14T07:54:55.435392,14.39007045,.0040871,98.9300,125.6705,97.3603,263.2231,0,U,87228,999,44725,.30671E-2,.9526E-4,0
UNKNOWN,,2022-12-13T03:34:46.181568,14.28195381,.0148488,98.9709,139.7038,154.3836,206.4798,0,U,87235,999,44734,.15846E-2,.4395E-4,0
UNKNOWN,1999-025,2022-12-13T09:25:23.920608,13.90254462,.0104921,99.3963,22.3578,356.0879,17.2424,0,U,87237,999,53494,.3776E-3,.443E-5,0
UNKNOWN,1981-053,2022-12-14T12:42:09.089568,14.27634852,.0027379,82.8810,270.8632,182.6903,177.4139,0,U,87239,999,47060,.15318E-2,.3803E-4,0
UNKNOWN,1971-015,2022-12-13T11:03:30.589344,13.95889981,.0524678,65.6634,48.1904,289.6976,78.3102,0,U,87245,999,46029,.11722E-2,.5118E-4,0
UNKNOWN,1999-025,2022-12-03T10:32:28.894848,14.07135150,.0042484,98.8352,42.2705,270.4863,89.1438,0,U,87256,999,43867,.60755E-3,.982E-5,0
UNKNOWN,1971-015,2022-12-14T09:07:03.259776,13.92110351,.0554961,65.7709,226.8892,268.9562,84.7913,0,U,87271,999,45849,.10192E-2,.4639E-4,0
UNKNOWN,,2022-12-14T10:47:19.716864,13.47235086,.010583,64.6179,58.2636,168.3643,191.9878,0,U,87280,999,38636,.5496E-3,.264E-5,0
UNKNOWN,1971-015,2022-12-14T14:50:40.483968,13.95405801,.0521511,65.9106,117.6993,227.1337,128.4819,0,U,87293,999,46017,.21394E-2,.9191E-4,0
UNKNOWN,1970-025,2022-12-14T14:07:40.300032,13.93726820,.0032981,100.0740,214.2298,317.4074,42.4526,0,U,87300,999,46041,.10485E-2,.1334E-4,0
UNKNOWN,,2022-12-14T13:29:53.346336,14.68894406,.0020803,74.0199,291.1652,183.1511,176.9532,0,U,87304,999,48548,.22867E-3,.1309E-4,0
UNKNOWN,1993-036,2022-12-14T04:28:26.283648,14.68486229,.003197,73.9949,172.2402,225.2970,134.5596,0,U,87305,999,31328,.17943E-2,.10463E-3,0
UNKNOWN,1971-015,2022-12-13T18:26:09.602016,13.62911004,.0443734,66.5948,160.2243,27.8545,334.5526,0,U,87320,999,35811,.50358E-3,.694E-5,0
UNKNOWN,,2022-12-14T13:02:19.660704,13.65720340,.0100451,89.9927,270.9651,357.7482,2.3211,0,U,87334,999,23567,.13243E-1,.11236E-3,0
UNKNOWN,,2022-12-13T12:26:45.509856,13.65462301,.0102224,89.9786,269.0042,337.5038,22.1655,0,U,87335,999,23559,.10254E-1,.8673E-4,0
UNKNOWN,1994-029,2022-12-11T23:16:46.821504,14.77098121,.0012335,81.2438,216.8807,353.9757,6.1300,0,U,87397,999,39565,.13779E-2,.9767E-4,0
UNKNOWN,1981-053,2022-12-14T13:03:24.535872,13.89790126,.0053864,82.7565,197.6811,229.4274,130.2196,0,U,87405,999,45884,.10435E-2,.1311E-4,0
UNKNOWN,1976-077,2022-12-13T07:02:03.455520,12.20257236,.0192563,102.2572,283.3940,234.5550,123.7390,0,U,87410,999,40333,-.29018E-3,-.76E-6,0
UNKNOWN,1981-053,2022-12-05T13:49:35.878080,14.28925508,.0021299,82.8360,198.1490,283.1096,76.7712,0,U,87416,999,45094,.14348E-2,.3648E-4,0
UNKNOWN,,2022-12-14T09:36:00.842400,14.15156789,.0069619,65.7942,23.2679,154.6888,217.5243,0,U,87426,999,46701,.11819E-2,.2263E-4,0
UNKNOWN,,2022-12-14T08:30:20.396736,13.36884441,.0040896,100.1958,127.0290,8.8571,351.3267,0,U,87433,999,28617,.33209E-2,.1686E-4,0
UNKNOWN,1970-025,2022-12-14T10:37:06.391776,13.85057726,.0068462,100.4376,51.3630,144.9785,215.5897,0,U,87448,999,45746,.10391E-2,.1145E-4,0
UNKNOWN,1976-126,2022-12-09T22:48:49.515840,13.89359076,.0612434,65.7925,69.5270,204.2853,152.8204,0,U,87456,999,99796,.15796E-2,.909E-4,0
UNKNOWN,1993-036,2022-12-13T12:29:50.798112,14.88934810,.0059589,74.0112,264.8284,301.7606,57.7777,0,U,87468,999,31711,.16701E-2,.16216E-3,0
UNKNOWN,1999-025,2022-12-14T11:57:56.174976,14.57496598,.0064045,98.6232,77.0856,279.3050,80.0909,0,U,87491,999,42278,.24329E-2,.11334E-3,0
UNKNOWN,1993-036,2022-12-13T18:17:43.024128,14.52504827,.0020277,74.0293,111.1615,70.8454,289.4901,0,U,87501,999,31010,.52488E-2,.21533E-3,0
UNKNOWN,1976-126,2022-12-10T11:44:28.180320,13.47406129,.0714217,65.8290,357.1155,111.9232,329.0764,0,U,87517,999,129,.41528E-3,.118E-4,0
UNKNOWN,1970-025,2022-12-12T04:14:15.792288,13.35025719,.006031,99.8402,232.1884,28.7858,125.3901,0,U,87541,999,43568,.45073E-3,.187E-5,0
UNKNOWN,1976-126,2022-12-14T07:48:30.525984,13.43208041,.0736814,65.6722,101.6859,351.5863,7.3354,0,U,87553,999,44371,.36155E-3,.1012E-4,0
UNKNOWN,1973-086,2022-12-13T15:14:26.314656,13.15159492,.0083664,101.8223,53.1616,244.5565,114.6866,0,U,87557,999,42041,.10423E-1,.3923E-4,0
UNKNOWN,1976-077,2022-12-11T03:25:15.513888,12.32133589,.017582,102.1471,51.0682,138.8202,251.4959,0,U,87561,999,40725,.10797E-3,-.3E-6,0
