OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
VANGUARD 1,1958-002B,2022-12-14T13:15:57.257856,10.85041959,.1845579,34.2478,304.3724,128.2681,249.8822,0,U,5,999,30420,.15109E-3,.11E-5,0
VANGUARD 2,1959-001A,2022-12-14T18:25:37.401600,11.86258647,.1464283,32.8680,236.4512,352.2625,5.7476,0,U,11,999,38307,.56371E-3,.1058E-4,0
VANGUARD R/B,1959-001B,2022-12-14T19:48:36.369216,11.44772727,.1662541,32.9035,44.8324,183.6009,175.1094,0,U,12,999,38429,.43961E-3,.761E-5,0
VANGUARD R/B,1958-002A,2022-12-14T20:55:38.087904,10.48810716,.2027407,34.2665,45.6162,116.7723,265.4225,0,U,16,999,55442,-.95556E-4,-.83E-6,0
VANGUARD 3,1959-007A,2022-12-14T20:20:22.284096,11.56418843,.1661622,33.3378,177.4009,58.1025,317.0567,0,U,20,999,33597,.50561E-3,.1209E-4,0
EXPLORER 7,1959-009A,2022-12-14T18:51:05.160960,14.98225707,.0132021,50.2802,144.7012,142.1067,218.9263,0,U,22,999,60665,.47488E-3,.6533E-4,0
TIROS 1,1960-002B,2022-12-14T16:19:14.331072,14.74860283,.0023704,48.3805,331.9539,168.8101,191.3343,0,U,29,999,35286,.10614E-3,.513E-5,0
TRANSIT 2A,1960-007A,2022-12-14T16:38:41.052480,14.33974434,.0253334,66.6930,141.8617,11.3632,349.3039,0,U,45,999,19632,.55375E-4,.114E-5,0
SOLRAD 1 (GREB),1960-007B,2022-12-14T16:46:40.406592,14.49962750,.0207858,66.6899,106.1726,174.4362,185.9130,0,U,46,999,27103,.32975E-3,.1573E-4,0
THOR ABLESTAR R/B,1960-007C,2022-12-14T11:14:09.818880,14.42516554,.0227239,66.6655,241.2592,355.5379,4.3693,0,U,47,999,26634,.15866E-3,.607E-5,0
DELTA 1 R/B,1960-009B,2022-12-14T19:56:38.595264,12.20125224,.0113686,47.2275,175.7469,158.7287,201.8281,0,U,50,999,78137,.37431E-3,-.46E-6,0
ECHO 1 DEB [METAL OBJ],1960-009C,2022-12-14T13:39:15.667776,12.18286246,.0106062,47.2149,51.7421,347.9500,11.8757,0,U,51,999,77504,.84591E-3,.2E-7,0
ECHO 1 DEB [METAL OBJ],1960-009E,2022-12-15T08:44:42.700704,12.17285770,.0100559,47.2789,329.8130,253.7461,105.2245,0,U,53,999,77952,.20029E-4,-.82E-6,0
COURIER 1B,1960-013A,2022-12-14T18:10:10.969824,13.46341392,.0164928,28.3249,156.3770,45.7960,315.6006,0,U,58,999,6137,.12836E-4,.91E-6,0
THOR ABLESTAR R/B,1960-013B,2022-12-14T19:22:07.669344,13.53010987,.0189036,28.2470,221.8324,7.1639,353.1552,0,U,59,999,6962,.43356E-4,.118E-5,0
SCOUT X-1 R/B,1961-004B,2022-12-14T17:20:10.049856,12.26054602,.1168357,38.8550,68.0488,156.4636,209.4255,0,U,82,999,91953,.14701E-3,.13E-5,0
SCOUT X-1 DEB,1961-004C,2022-12-15T04:28:14.675808,14.29188828,.0364616,38.7666,33.5665,116.6991,247.1562,0,U,85,999,6089,.14831E-2,.7783E-4,0
EXPLORER 11,1961-013A,2022-12-14T11:12:10.674144,14.10726181,.0539508,28.7876,77.4568,150.3778,212.8504,0,U,107,999,9428,.40253E-3,.3156E-4,0
THOR ABLE DEB [YO],1960-002D,2022-12-14T08:34:52.501440,14.85002852,.0034004,48.1641,216.0435,300.9868,58.7707,0,U,115,999,32695,.20828E-3,.1586E-4,0
TRANSIT 4A,1961-015A,2022-12-14T20:35:28.001472,13.91862732,.0069073,66.8081,142.5064,90.9324,269.9671,0,U,116,999,11849,.77937E-4,.25E-6,0
SOLRAD 3 & INJUN 1,1961-015B,2022-12-14T11:00:01.782144,13.89912768,.0071698,66.8125,246.7173,115.7503,245.0998,0,U,117,999,11649,.56577E-4,-.5E-7,0
THOR ABLESTAR R/B,1961-015C,2022-12-14T18:56:10.705056,14.01846194,.0075978,66.7649,12.2335,93.7565,267.2211,0,U,118,999,13661,.93779E-4,.67E-6,0
THOR ABLESTAR DEB,1961-015D,2022-12-15T06:59:26.260224,14.23839214,.0098993,66.7282,109.0392,108.0910,253.0999,0,U,119,999,17632,.35568E-3,.774E-5,0
THOR ABLESTAR DEB,1961-015E,2022-12-14T21:20:23.418816,14.25971805,.0120065,66.7047,168.6129,212.6082,146.7561,0,U,120,999,16599,.28531E-3,.65E-5,0
THOR ABLESTAR DEB,1961-015F,2022-12-14T17:14:14.933760,13.99776463,.0093676,66.7481,343.4207,183.6668,176.3740,0,U,121,999,14712,.48322E-4,-.5E-7,0
THOR ABLESTAR DEB,1961-015G,2022-12-14T10:19:30.062784,14.71645538,.0065514,66.7504,233.6064,149.0393,211.4616,0,U,122,999,22494,.44455E-3,.2754E-4,0
THOR ABLESTAR DEB,1961-015H,2022-12-14T23:42:06.041088,14.37648715,.0109961,66.6847,232.5292,129.0351,232.0602,0,U,123,999,19578,.18515E-3,.505E-5,0
THOR ABLESTAR DEB,1961-015J,2022-12-14T20:02:50.402112,14.31189410,.0081826,66.5451,34.6072,298.3705,60.9159,0,U,124,999,17538,.57304E-3,.1485E-4,0
THOR ABLESTAR DEB,1961-015K,2022-12-15T02:57:32.923008,14.05855809,.0080665,66.8762,249.3612,280.7699,78.4315,0,U,125,999,13769,.30306E-3,.431E-5,0
THOR ABLESTAR DEB,1961-015L,2022-12-15T04:53:05.974368,14.37248926,.0061786,66.7121,261.5698,124.4655,236.2306,0,U,126,999,18058,.38462E-3,.1086E-4,0
THOR ABLESTAR DEB,1961-015M,2022-12-15T02:32:51.111168,14.39969985,.007739,66.8302,114.7012,270.2575,88.9661,0,U,127,999,18197,.59325E-3,.1848E-4,0
THOR ABLESTAR DEB,1961-015N,2022-12-14T20:07:37.183584,14.01327634,.0088179,66.6738,139.9006,118.6841,242.3142,0,U,128,999,13563,.1118E-3,.95E-6,0
THOR ABLESTAR DEB,1961-015Q,2022-12-14T20:27:10.969056,13.98829639,.0079599,66.7694,185.5869,110.0232,250.9443,0,U,130,999,13288,.80797E-4,.41E-6,0
THOR ABLESTAR DEB,1961-015R,2022-12-14T15:52:12.305856,14.00871834,.0087335,66.7365,54.1689,244.2463,114.9588,0,U,131,999,12404,.14952E-3,.152E-5,0
THOR ABLESTAR DEB,1961-015S,2022-12-14T11:09:20.258784,13.94397881,.0078331,66.6604,256.7631,329.1622,30.4868,0,U,132,999,12508,.74778E-4,.24E-6,0
THOR ABLESTAR DEB,1961-015T,2022-12-14T20:12:05.562720,14.18914283,.00502,67.1152,224.0864,79.2156,281.4584,0,U,133,999,15157,.46662E-3,.906E-5,0
THOR ABLESTAR DEB,1961-015U,2022-12-15T08:37:03.325728,13.96986770,.0078668,66.8808,315.9800,30.9115,329.6563,0,U,134,999,12734,.15524E-3,.145E-5,0
THOR ABLESTAR DEB,1961-015W,2022-12-15T07:44:45.939552,14.34692950,.0051266,67.5301,320.2388,123.6206,236.9809,0,U,136,999,17324,.45951E-3,.1243E-4,0
THOR ABLESTAR DEB,1961-015Y,2022-12-14T12:24:29.895552,14.02227710,.0028628,67.1559,9.3106,36.4533,323.8497,0,U,138,999,12355,.43444E-3,.592E-5,0
THOR ABLESTAR DEB,1961-015AB,2022-12-14T13:45:51.037632,13.87267151,.0053982,66.5895,303.6939,170.9635,189.2426,0,U,141,999,9407,.24522E-3,.214E-5,0
THOR ABLESTAR DEB,1961-015AE,2022-12-14T14:16:34.241664,13.90370198,.0035101,66.5004,314.0676,99.0276,261.4775,0,U,144,999,10653,.24132E-3,.222E-5,0
THOR ABLESTAR DEB,1961-015AF,2022-12-15T02:18:27.695232,14.01672524,.0061876,66.9271,313.4791,164.9080,195.3871,0,U,145,999,13768,.22783E-3,.274E-5,0
THOR ABLESTAR DEB,1961-015AH,2022-12-14T21:10:24.265056,14.19839543,.0061425,66.6193,77.6596,252.5348,106.9024,0,U,147,999,15241,.42824E-3,.842E-5,0
THOR ABLESTAR DEB,1961-015AJ,2022-12-15T09:03:00.092160,14.06477758,.0159169,65.7743,228.6349,254.3845,103.9618,0,U,148,999,57920,-.36404E-5,-.95E-6,0
THOR ABLESTAR DEB,1961-015AL,2022-12-14T17:15:23.312448,13.81711368,.0068594,66.2465,176.9385,277.8884,81.4403,0,U,150,999,93145,.50961E-3,.476E-5,0
THOR ABLESTAR DEB,1961-015AN,2022-12-14T23:40:20.315136,14.09577137,.0154553,66.5917,338.1788,343.7646,15.8515,0,U,152,999,14551,.13213E-3,.176E-5,0
THOR ABLESTAR DEB,1961-015AQ,2022-12-14T16:28:50.354688,14.04781103,.0083865,66.6571,136.3851,178.5051,181.6301,0,U,154,999,13667,.22173E-3,.287E-5,0
THOR ABLESTAR DEB,1961-015AR,2022-12-15T10:07:41.112768,14.40746047,.004582,66.8810,79.0208,180.2231,179.8862,0,U,155,999,17652,.7581E-3,.2373E-4,0
THOR ABLESTAR DEB,1961-015AU,2022-12-14T16:10:44.723136,12.65454220,.0611809,67.0724,193.1969,301.2420,53.0027,0,U,158,999,84327,.45707E-3,.123E-5,0
THOR ABLESTAR DEB,1961-015AV,2022-12-14T19:18:28.476000,13.02276796,.037828,65.5238,184.1232,286.3122,69.6618,0,U,159,999,91407,.2555E-3,.43E-6,0
TIROS 3,1961-017A,2022-12-14T23:11:48.536736,14.44224411,.0044973,47.9006,66.8902,327.8649,31.9505,0,U,162,999,23192,.67329E-4,.72E-6,0
MIDAS 3,1961-018A,2022-12-15T00:59:53.730240,8.91835283,.0098882,91.1254,150.4936,121.7920,239.2628,0,U,163,999,14,.3522E-2,.11E-6,0
DELTA 1 DEB [YO],1961-017D,2022-12-13T12:37:45.369984,14.22955652,.0092182,47.8460,281.0783,264.1837,94.8531,0,U,167,999,18207,.59428E-4,-.11E-6,0
THOR ABLESTAR DEB,1961-015AY,2022-12-14T16:26:20.668416,13.57805707,.013879,67.0673,216.6241,254.9222,103.6451,0,U,172,999,3117,.32475E-3,.18E-5,0
THOR ABLESTAR DEB,1961-015BB,2022-12-15T02:29:39.370560,14.13704050,.0124602,66.6628,232.3350,266.5912,92.0919,0,U,177,999,16072,-.64278E-4,-.214E-5,0
THOR ABLESTAR DEB,1961-015BC,2022-12-14T11:18:41.484672,13.92485997,.0081172,66.8655,249.7428,193.7197,166.1678,0,U,178,999,11933,.80378E-4,.3E-6,0
MIDAS 3 DEB,1961-018C,2022-12-14T11:47:02.062176,8.93815388,.0116906,91.1178,153.1500,338.6440,20.9581,0,U,188,999,376,.44984E-2,.14E-6,0
MIDAS 4,1961-028A,2022-12-14T07:53:37.530240,8.67766517,.0138114,95.8607,314.2450,140.4549,220.6474,0,U,192,999,93706,.72876E-2,.13E-6,0
MIDAS 4 DEB,1961-028C,2022-12-12T22:36:00.063360,8.70085434,.0397778,95.8418,337.1688,8.4163,352.3124,0,U,194,999,94174,-.42758E-2,-.14E-6,0
MIDAS 4 DEB,1961-028D,2022-12-12T20:59:56.544864,8.65607558,.0116009,95.8756,295.7972,237.2802,121.6820,0,U,195,999,93243,-.677E-2,-.18E-6,0
MIDAS 3 DEB,1961-018D,2022-12-14T10:18:21.119040,8.89686937,.0125497,91.1323,148.7217,267.6465,91.0033,0,U,196,999,99515,-.34343E-2,-.9E-7,0
TRANSIT 4B,1961-031A,2022-12-15T06:24:23.953824,13.63584771,.0101497,32.4389,292.1938,213.7971,145.6148,0,U,202,999,4625,.74251E-4,.86E-6,0
THOR ABLESTAR R/B,1961-031C,2022-12-14T17:49:15.664224,13.64914180,.0098837,32.4446,4.2586,286.6012,72.3775,0,U,204,999,4797,.56953E-4,.71E-6,0
TRAAC,1961-031B,2022-12-14T17:12:24.962112,13.62441872,.0102291,32.4416,77.7328,347.8208,11.9948,0,U,205,999,4433,.18344E-4,.36E-6,0
THOR ABLESTAR DEB,1961-015BE,2022-12-14T12:33:05.337216,13.86568296,.0042757,66.4581,280.2591,31.0231,329.3355,0,U,210,999,8808,.57196E-3,.592E-5,0
THOR ABLESTAR DEB,1961-015BK,2022-12-14T20:20:53.292192,13.88710087,.0066187,66.8887,186.1394,163.2006,197.1287,0,U,223,999,11307,.50276E-4,-.14E-6,0
THOR ABLESTAR DEB,1961-015BL,2022-12-14T21:02:13.180416,14.08677175,.0069763,66.7351,150.9934,220.0435,213.1506,0,U,224,999,13196,.46042E-3,.731E-5,0
THOR ABLESTAR DEB,1961-015BM,2022-12-14T11:41:19.353984,14.32309316,.0102164,66.8009,14.0196,99.4323,261.8343,0,U,225,999,17392,.2381E-3,.596E-5,0
TIROS 4,1962-002A,2022-12-14T15:49:45.281568,14.45858385,.0077668,48.2973,41.6995,19.2443,341.1362,0,U,226,999,18306,.59082E-4,.45E-6,0
DELTA 1 DEB [YO],1962-002B,2022-12-15T05:25:30.805536,14.38583991,.0131494,48.1488,332.0916,191.0195,168.7811,0,U,227,999,18065,.91867E-4,.141E-5,0
DELTA 1 DEB [YO],1962-002C,2022-12-14T05:28:48.838656,15.04205448,.001412,48.4288,341.2657,29.7849,330.3876,0,U,228,999,24799,.28087E-3,.3694E-4,0
THOR ABLESTAR DEB,1961-015BN,2022-12-14T14:41:59.466912,13.96227792,.0092299,66.8841,315.2955,12.4322,347.9006,0,U,230,999,12694,.12672E-3,.104E-5,0
THOR ABLESTAR DEB,1961-015BQ,2022-12-14T19:44:45.415104,13.99532198,.006336,66.8191,146.2613,295.2497,64.2028,0,U,232,999,12774,.19098E-3,.205E-5,0
THOR ABLESTAR DEB,1961-015BR,2022-12-14T20:40:15.989952,14.65516437,.0025271,66.8484,190.5011,38.5905,321.7013,0,U,233,999,18934,.8886E-3,.475E-4,0
THOR ABLESTAR DEB,1961-015BS,2022-12-14T16:58:23.246400,14.02539929,.0073785,66.8765,103.8762,336.0041,23.7611,0,U,234,999,13176,.2407E-3,.301E-5,0
THOR ABLESTAR DEB,1961-015BT,2022-12-14T03:28:42.663072,14.09063877,.0168835,66.9551,242.6312,220.0118,138.8434,0,U,235,999,14069,.17801E-3,.273E-5,0
THOR ABLESTAR DEB,1961-015BY,2022-12-14T14:49:38.097984,13.98037806,.0031243,66.4644,342.3902,203.3576,156.6086,0,U,243,999,10462,.63878E-3,.831E-5,0
THOR ABLESTAR DEB,1961-015BZ,2022-12-14T18:24:44.085888,13.94841931,.0076185,66.8401,134.1065,274.0653,85.1722,0,U,244,999,12050,.17345E-3,.161E-5,0
THOR ABLESTAR DEB,1961-015CA,2022-12-14T13:09:28.873440,14.14566679,.0059526,66.1094,286.5841,233.5019,126.0575,0,U,245,999,14691,.2552E-3,.412E-5,0
THOR ABLESTAR DEB,1961-015CB,2022-12-14T13:15:56.703168,13.85847607,.0070457,66.8704,44.8456,312.8216,46.6951,0,U,246,999,44687,.64625E-4,0,0
THOR ABLESTAR DEB,1961-015CD,2022-12-14T07:45:04.638240,13.76524419,.0049771,67.0789,328.2569,59.2170,41.9564,0,U,252,999,7495,.30701E-3,.232E-5,0
THOR ABLESTAR DEB,1961-015CE,2022-12-14T20:33:34.271424,14.63645214,.0021814,66.9263,29.5397,62.0010,298.3285,0,U,253,999,18946,.10027E-2,.5145E-4,0
THOR ABLESTAR DEB,1961-015CF,2022-12-14T17:18:51.107040,14.43499531,.0073109,66.7755,118.0814,328.6479,31.0277,0,U,254,999,18827,.4672E-3,.1544E-4,0
THOR ABLESTAR DEB,1961-015CG,2022-12-14T17:10:56.777088,14.35755649,.0050095,66.7708,356.0087,352.6307,7.4052,0,U,260,999,17197,.58041E-3,.1619E-4,0
THOR ABLESTAR DEB,1961-015CH,2022-12-15T02:20:55.614624,14.00115832,.0083883,66.6821,4.9707,135.5178,225.2681,0,U,261,999,13282,.11675E-3,.98E-6,0
THOR ABLESTAR DEB,1961-015CJ,2022-12-15T08:58:14.434752,14.44010687,.0085365,66.4663,327.1593,259.7161,99.4310,0,U,262,999,17324,.11245E-2,.3932E-4,0
THOR ABLESTAR DEB,1961-015CK,2022-12-14T17:31:36.562656,14.41028853,.0099275,66.5317,339.5206,92.9810,80.0536,0,U,263,999,19839,.27753E-3,.853E-5,0
THOR ABLESTAR DEB,1961-015CL,2022-12-14T20:20:32.073216,14.28821496,.0028501,66.5286,26.7871,207.6552,152.3030,0,U,264,999,15008,.70361E-3,.1698E-4,0
THOR ABLESTAR DEB,1961-015CN,2022-12-14T21:47:04.802208,12.50723424,.0654083,67.9406,34.4288,351.7203,184.9491,0,U,268,999,79308,.19748E-2,.617E-5,0
MIDAS 5 (STRONGBACK),1962-010A,2022-12-14T14:43:12.184608,9.41309252,.0329285,86.6592,142.2790,162.5231,198.7322,0,U,271,999,8517,-.86036E-3,0,0
MIDAS 5 DEB,1962-010C,2022-12-14T15:37:15.061728,9.43766443,.0303551,86.6573,124.5739,359.7357,0.3350,0,U,273,999,9047,.63232E-2,.36E-6,0
MIDAS 5 DEB,1962-010D,2022-12-14T17:13:04.727712,9.39397743,.0359092,86.6635,159.2525,290.6638,65.6115,0,U,274,999,8054,-.35322E-3,.1E-7,0
THOR ABLESTAR DEB,1961-015CQ,2022-12-14T13:24:45.171360,13.68076334,.0193168,67.1677,122.0837,169.0504,191.4865,0,U,299,999,5382,.37178E-3,.291E-5,0
TIROS 5,1962-025A,2022-12-15T03:12:53.858016,14.57334199,.0187381,58.0915,233.4468,306.2753,52.1089,0,U,309,999,19501,.10252E-3,.386E-5,0
DELTA 1 DEB [YO],1962-025C,2022-12-15T13:32:29.125536,14.55387687,.0212237,58.2481,14.0555,42.0805,319.6305,0,U,312,999,17264,.17567E-3,.827E-5,0
THOR ABLESTAR DEB,1961-015CU,2022-12-14T10:29:10.133376,14.90045539,.0071819,66.5383,359.1863,273.1860,86.1051,0,U,318,999,22149,.8502E-3,.8513E-4,0
THOR ABLESTAR DEB,1961-015CW,2022-12-14T17:06:23.995008,14.27523080,.014327,66.9052,120.6083,283.9806,74.5396,0,U,320,999,18545,.17675E-3,.398E-5,0
THOR ABLESTAR DEB,1961-015CZ,2022-12-14T17:07:50.119392,14.13669836,.0079504,66.8336,109.7735,304.3359,55.0226,0,U,323,999,14729,.33604E-3,.573E-5,0
THOR ABLESTAR DEB,1961-015DA,2022-12-14T19:38:02.232096,14.10746083,.0074916,66.8674,21.3364,252.7524,106.5357,0,U,324,999,14229,.2658E-3,.408E-5,0
THOR ABLESTAR DEB,1961-015DB,2022-12-14T16:38:43.686816,14.18948821,.0064517,66.9146,135.8701,279.8417,79.5396,0,U,325,999,15121,.33501E-3,.632E-5,0
THOR ABLESTAR DEB,1961-015DD,2022-12-15T08:09:23.325120,13.89901200,.0120085,66.5434,303.8458,242.7786,116.1012,0,U,327,999,10930,.15193E-3,.12E-5,0
THOR ABLESTAR DEB,1961-015DF,2022-12-15T13:14:56.566176,13.65456622,.0110803,66.7793,132.2009,128.4627,307.2204,0,U,329,999,5573,.21164E-3,.108E-5,0
THOR ABLESTAR DEB,1961-015DG,2022-12-14T17:31:53.041728,14.03054361,.0052126,66.9805,241.3389,354.5234,5.5276,0,U,330,999,11683,.52724E-3,.752E-5,0
THOR ABLESTAR DEB,1961-015DK,2022-12-15T10:46:05.866464,14.59853307,.0055132,66.7129,123.2700,201.2839,158.5982,0,U,333,999,20109,.11134E-2,.5352E-4,0
THOR ABLESTAR DEB,1961-015DL,2022-12-15T10:57:39.857184,13.91352479,.0084815,66.9254,56.7890,304.8369,54.4754,0,U,334,999,11844,.755E-4,.22E-6,0
THOR ABLESTAR DEB,1961-015DM,2022-12-15T11:30:10.254240,14.18123670,.0037407,66.8401,166.8463,32.9417,327.3996,0,U,335,999,14594,.46391E-3,.878E-5,0
THOR ABLESTAR DEB,1961-015DN,2022-12-15T06:46:45.566976,13.68590449,.0081462,67.0310,297.3206,328.2834,180.6031,0,U,336,999,6456,.20394E-3,.108E-5,0
THOR ABLESTAR DEB,1961-015DP,2022-12-14T14:15:36.122976,13.74826663,.0098319,67.0098,64.3152,102.0964,259.1145,0,U,337,999,6864,.36299E-3,.286E-5,0
TELSTAR 1,1962-029A,2022-12-14T07:45:12.074688,9.12877276,.2430621,44.7862,182.7941,116.1515,33.8410,0,U,340,999,1545,-.68003E-3,-.134E-5,0
DELTA 1 R/B,1962-029B,2022-12-13T18:55:04.605600,9.14255372,.2414729,44.8068,86.6256,225.6483,325.7064,0,U,341,999,1790,.95822E-3,.1E-5,0
THOR ABLESTAR DEB,1961-015DQ,2022-12-14T11:40:07.349952,14.21000195,.0123755,66.9131,267.9571,37.2892,323.6714,0,U,350,999,18088,.142E-3,.251E-5,0
THOR ABLESTAR DEB,1961-015DR,2022-12-14T14:05:17.103264,14.56072694,.0038997,66.7524,49.5157,233.4785,126.2734,0,U,351,999,18956,.90195E-3,.3928E-4,0
THOR ABLESTAR DEB,1961-015DT,2022-12-14T13:10:53.812416,15.08105459,.0014068,66.4970,283.2696,334.6974,25.3471,0,U,353,999,21073,.23095E-2,.35866E-3,0
THOR ABLESTAR DEB,1961-015DU,2022-12-15T02:27:38.393280,13.48475478,.0164217,67.0659,100.3594,124.6959,50.6198,0,U,354,999,30560,.20438E-3,.72E-6,0
THOR ABLESTAR DEB,1961-015DV,2022-12-15T04:22:49.080000,13.32434959,.0244096,67.2257,274.2894,31.4451,38.8607,0,U,355,999,97892,.13076E-2,.686E-5,0
THOR ABLESTAR DEB,1961-015DX,2022-12-14T16:22:38.004384,14.04837677,.0010427,66.8096,218.1708,12.3249,347.8090,0,U,357,999,11568,.57722E-3,.849E-5,0
FTV 3502,1962-039A,2022-12-14T16:07:00.610176,14.84837001,.008961,98.5134,316.3461,311.3197,48.0328,0,U,369,999,22509,.23833E-3,.2106E-4,0
TIROS 6,1962-047A,2022-12-14T16:14:51.471168,14.89290485,.0009873,58.3042,143.4962,149.4098,210.7524,0,U,397,999,22113,.13576E-3,.1079E-4,0
THOR ABLESTAR DEB,1961-015EB,2022-12-14T12:59:16.188576,14.43450214,.003935,66.6629,136.5982,193.1187,166.8898,0,U,402,999,15509,.13624E-2,.457E-4,0
THOR ABLESTAR DEB,1961-015EC,2022-12-14T16:43:24.772800,13.80850088,.002367,66.8408,116.3004,331.7141,132.1175,0,U,403,999,9433,.96543E-4,.28E-6,0
THOR ABLESTAR DEB,1961-015ED,2022-12-15T04:32:36.782304,12.90843843,.0555906,66.4702,265.5237,137.4303,227.1237,0,U,404,999,87847,.12603E-2,.605E-5,0
THOR ABLESTAR DEB,1961-015EE,2022-12-14T14:54:57.445344,13.65981291,.0088162,66.8934,271.4049,335.8554,76.6842,0,U,405,999,5720,.16945E-3,.72E-6,0
THOR ABLESTAR DEB,1961-015EF,2022-12-14T17:35:04.560288,13.67425103,.0119668,66.7775,127.5112,174.8191,299.6653,0,U,406,999,4598,.77956E-3,.618E-5,0
THOR ABLESTAR DEB,1961-015EG,2022-12-14T17:52:54.194016,14.51948693,.0070443,66.3270,150.2116,62.3737,312.1384,0,U,407,999,14336,.16072E-2,.6617E-4,0
THOR ABLESTAR DEB,1961-015EH,2022-12-14T05:57:12.790080,13.75398579,.0074138,66.7868,282.9131,271.6357,253.3907,0,U,408,999,12942,.33824E-3,.258E-5,0
THOR ABLESTAR DEB,1961-015EJ,2022-12-14T14:51:33.261408,14.23825775,.0065937,66.7157,77.9840,15.5700,344.7402,0,U,409,999,15866,.35216E-3,.741E-5,0
THOR ABLESTAR DEB,1961-015EK,2022-12-15T03:08:53.692800,13.76208182,.0010815,66.6923,222.2881,158.4327,359.6020,0,U,410,999,8439,.89843E-4,.13E-6,0
THOR ABLESTAR DEB,1961-015EP,2022-12-15T09:49:15.057120,13.77173197,.0048243,66.4451,325.6973,187.9662,250.5898,0,U,414,999,8633,.10832E-3,.32E-6,0
THOR ABLESTAR DEB,1961-015ER,2022-12-14T15:35:11.015520,14.12741017,.0081595,66.5222,322.6821,306.0712,53.2837,0,U,416,999,15083,.15093E-3,.206E-5,0
THOR ABLESTAR DEB,1961-015ES,2022-12-13T03:39:29.672928,14.17741869,.007698,66.7465,259.9536,303.0738,56.2978,0,U,417,999,15604,.44626E-3,.855E-5,0
THOR ABLESTAR DEB,1961-015EV,2022-12-14T19:34:48.132768,14.29463976,.0082425,66.8161,20.6054,88.6701,272.3839,0,U,420,999,17028,.25714E-3,.598E-5,0
ALOUETTE 1 (S-27),1962-049A,2022-12-15T13:53:42.306432,13.69236392,.0022145,80.4649,82.2559,299.0319,60.8607,0,U,424,999,617,.1296E-3,.121E-5,0
THOR AGENA B R/B,1962-049B,2022-12-14T20:13:11.301888,13.68533922,.0017099,80.4711,92.5548,288.1006,221.2991,0,U,426,999,498,.94646E-4,.9E-6,0
ANNA 1B,1962-060A,2022-12-13T04:24:07.219296,13.35292260,.0070144,50.1426,308.8020,170.3138,202.1972,0,U,446,999,93243,.61242E-4,-.95E-6,0
THOR ABLESTAR R/B,1962-060B,2022-12-14T16:34:06.448224,13.39072752,.0065581,50.1286,140.5411,309.2654,63.8748,0,U,447,999,94052,.32004E-4,-.11E-5,0
THOR ABLESTAR DEB,1961-015EX,2022-12-15T10:02:21.643584,14.62609191,.0040513,67.5092,4.8160,142.3165,218.0807,0,U,461,999,19680,.93985E-3,.4749E-4,0
THOR ABLESTAR DEB,1961-015EZ,2022-12-14T14:15:22.855392,14.44754682,.0052676,66.7711,264.6115,158.9189,201.4105,0,U,463,999,18334,.49769E-3,.167E-4,0
THOR ABLESTAR DEB,1961-015FB,2022-12-14T18:29:50.597664,14.33321923,.0028759,66.3175,97.2662,56.3669,304.0166,0,U,465,999,16209,.96666E-3,.2591E-4,0
THOR ABLESTAR DEB,1961-015FD,2022-12-14T16:45:35.535744,13.50740972,.0251887,66.5577,177.8194,23.0985,338.1161,0,U,467,999,10756,.20374E-2,.1529E-4,0
THOR ABLESTAR DEB,1961-015FF,2022-12-15T10:46:50.632896,14.29561772,.0057848,66.8348,258.2226,78.5845,282.1744,0,U,469,999,17016,.46286E-3,.1123E-4,0
THOR ABLESTAR DEB,1961-015FG,2022-12-14T19:09:38.781792,14.06023410,.0066909,66.2310,323.4486,10.6227,349.6250,0,U,470,999,13217,.45307E-3,.675E-5,0
THOR ABLESTAR DEB,1961-015FL,2022-12-14T14:05:55.164192,14.87613039,.0024706,66.2455,51.8453,304.1605,167.4144,0,U,474,999,20083,.16341E-2,.14884E-3,0
THOR ABLESTAR DEB,1961-015FM,2022-12-14T19:41:49.814016,14.12310305,.0154368,66.2279,126.4709,169.9791,190.4435,0,U,475,999,10624,.58522E-3,.1122E-4,0
THOR ABLESTAR DEB,1961-015FQ,2022-12-14T04:21:38.977632,14.60577154,.0045999,66.0719,266.1530,35.1887,325.2244,0,U,478,999,19513,.8394E-3,.4043E-4,0
THOR ABLESTAR DEB,1961-015FS,2022-12-14T16:51:57.997440,14.34381947,.0093692,66.2389,280.5008,236.3910,122.8220,0,U,480,999,17065,.44144E-3,.1215E-4,0
RELAY 1 (A-15),1962-068A,2022-12-14T13:17:30.472224,7.78164247,.2848683,47.5085,263.8641,105.5913,38.7286,0,U,503,999,70578,0,-.32E-6,0
EXPLORER 16,1962-070A,2022-12-15T03:03:25.484256,13.85261289,.0277897,52.0012,236.2658,43.8322,318.4295,0,U,506,999,3174,.92369E-4,-.6E-7,0
THOR AGENA B DEB,1962-049C,2022-12-13T16:40:26.533920,13.69798721,.0015878,80.5121,148.2065,163.5962,210.1454,0,U,510,999,720,.72316E-4,.73E-6,0
